Date,AAPL,AXP,BA,CAT,CSCO,DIS,GS,HD,IBM,JPM,KO,MCD,MRK,UNH,WBA
11/04/16,109.019997,59.799999,127.910004,74.629997,27.620001,96.269997,152.199997,133.009995,149.25,58.200001,46.439999,127.559998,55.049999,126.330002,81.150002
12/04/16,110.440002,60.68,129.470001,76.099998,27.639999,97.349998,154.309998,134.380005,149.630005,59.279999,46.650002,127.610001,55.34,126.800003,81.309998
13/04/16,112.040001,62.16,131.139999,79.129997,28.23,99.480003,159.850006,133.839996,151.229996,61.790001,46.040001,126.889999,55.959999,127.760002,81.080002
14/04/16,112.099998,62.509998,130.850006,79.050003,28.25,98.629997,160.910004,134.369995,151.160004,62.59,45.830002,127.510002,56.450001,127.980003,81.260002
15/04/16,109.849998,62.139999,131.130005,79.169998,27.9,98.589996,158.520004,135.009995,151.720001,61.869999,46.099998,127.779999,56.139999,127.330002,81.440002
18/04/16,107.480003,62.59,131.970001,79.25,28.190001,101.480003,159.020004,136.800003,152.529999,62.27,46.220001,128.850006,56.509998,127.809998,81.25
19/04/16,106.910004,63.57,132.679993,80.389999,28.33,102.639999,162.649994,135.440002,144,63.32,46.599998,128.860001,56.860001,130.5,81.839996
20/04/16,107.129997,65.019997,130.570007,79.739998,28.440001,103.269997,166.979996,135.190002,146.110001,64.239998,44.369999,128.550003,56.580002,133.929993,81.129997
21/04/16,105.970001,65.610001,130.740005,78.660004,28.24,102.910004,165.320007,134.600006,149.300003,63.599998,43.66,125.790001,56.599998,132.960007,80.559998
22/04/16,105.68,65.93,131.050003,78.32,28.15,103.769997,166.75,135.660004,148.5,63.970001,44.540001,125.5,56.740002,134.130005,80.139999
25/04/16,105.080002,65.699997,130.75,76.790001,28.23,104.57,165.089996,135.649994,148.809998,63.599998,44.709999,127.459999,56.220001,133.779999,80.389999
26/04/16,104.349998,66.199997,133.240005,77.650002,28.450001,104.889999,165.839996,135.339996,149.080002,63.93,44.529999,127.709999,56.040001,134.240005,81.309998
27/04/16,97.82,66.230003,137.080002,78.68,28.639999,105.279999,166.919998,135.75,150.470001,64.110001,44.68,128.300003,56.310001,132.800003,81.559998
28/04/16,94.830002,65.839996,134.800003,77.75,27.959999,104.029999,164.289993,132.729996,147.070007,63.599998,44.630001,127.919998,55.740002,132.070007,80.349998
29/04/16,93.739998,65.43,134.800003,77.720001,27.49,103.260002,164.110001,133.889999,145.940002,63.200001,44.799999,126.489998,54.84,131.679993,79.279999
