Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
11/04/14,74.230003,84.540001,122.07,101.449997,22.459999,117.029999,77.010002,152.720001,75.699997,195.190002,26.18,96.870003,55.299999,38.630001,99.290001,132.389999,55.919998,39.209999,35.625,29.860001,80.760002,85.300003,78.949997,113.93,49.157501,47.07,64.260002,76.5,96.720001
14/04/14,74.525711,85.5,123.25,102.779999,22.85,118.699997,77.620003,154.740005,75.970001,197.770004,26.559999,97.139999,54.959999,38.73,100.110001,133.149994,55.57,39.18,36.189999,29.870001,80.809998,85.5,79.18,114.940002,50.252499,47.27,65.669998,77.379997,97.860001
15/04/14,73.994286,86.040001,124.269997,102.5,22.889999,120.300003,77.660004,154.919998,75.889999,197.020004,26.77,99.199997,54.799999,40.18,100.830002,134.089996,56.049999,39.75,36.139999,29.889999,80.839996,85.889999,79.510002,115.839996,51.012501,46.919998,66.010002,76.879997,98.68
16/04/14,74.144287,87.400002,126.040001,102.93,23.030001,121.830002,78.949997,157.220001,76.580002,196.399994,26.93,98.75,55.259998,40.59,100.830002,136.770004,56.259998,40.400002,36.549999,30.09,81.650002,86.779999,78.190002,118.07,52.34,47.099998,66.160004,77.220001,99.940002
17/04/14,74.991432,86.220001,127.919998,102.830002,23.209999,123.68,79.989998,157.440002,77.089996,190.009995,27.040001,98.959999,55.220001,40.720001,100.25,137.729996,56.470001,40.009998,37.014999,30.25,81.760002,86.68,75.779999,118.57,51.987499,47.599998,66.75,77.660004,100.419998
21/04/14,75.881432,86.669998,127.82,102.639999,23.4,124.239998,79.110001,157.800003,77.959999,192.270004,26.950001,100,55.029999,40.75,99.669998,138.619995,57.25,39.939999,36.950001,30.860001,81.559998,86.400002,74.949997,118.300003,52.282501,47.98,66.129997,77.599998,100.93
22/04/14,75.957146,87.07,127.550003,103.690002,23.52,124,79.449997,160.460007,79.669998,192.149994,26.84,100.18,55.810001,40.709999,99.32,138.889999,57.77,39.990002,37.174999,31,81.25,86.889999,75.760002,119.190002,52.4925,47.919998,67.379997,77.559998,100.370003
23/04/14,74.964287,87.129997,130.630005,103.379997,23.5,124.690002,79.519997,160.449997,78.519997,191.729996,26.75,100.220001,56.049999,40.73,99.129997,137.990005,57.5,39.689999,37.049999,30.92,80.360001,88.129997,75.330002,119.650002,52.205002,47.43,67.389999,78.040001,100.5
24/04/14,81.110001,87.410004,129.860001,105.279999,23.33,124.300003,79.589996,160.850006,79.769997,190.220001,26.75,99.959999,56.189999,40.700001,99.839996,136.649994,57.529999,39.860001,36.695,30.709999,81.150002,88.589996,76.589996,118.980003,52.349998,46.279999,67.419998,78.309998,100.010002
25/04/14,81.705711,87.029999,128.660004,104.690002,23,123.989998,78.230003,158.240005,79.379997,189.630005,26.26,99.790001,55.700001,41.009998,100.730003,136.559998,57.240002,39.91,36.349998,30.75,81.410004,88.309998,75.660004,117.209999,49.732498,45.939999,66.650002,78.620003,100.410004
