Date,BA,CAT,CVX,GS,INTC,JPM,MCD,MSFT,NKE,PFE,UNH,VZ,WBA,XOM,MMM
11/04/14,122.07,101.449997,117.029999,152.720001,26.18,55.299999,99.290001,39.209999,35.625,29.860001,78.949997,47.07,64.260002,96.720001,132.389999
14/04/14,123.25,102.779999,118.699997,154.740005,26.559999,54.959999,100.110001,39.18,36.189999,29.870001,79.18,47.27,65.669998,97.860001,133.149994
15/04/14,124.269997,102.5,120.300003,154.919998,26.77,54.799999,100.830002,39.75,36.139999,29.889999,79.510002,46.919998,66.010002,98.68,134.089996
16/04/14,126.040001,102.93,121.830002,157.220001,26.93,55.259998,100.830002,40.400002,36.549999,30.09,78.190002,47.099998,66.160004,99.940002,136.770004
17/04/14,127.919998,102.830002,123.68,157.440002,27.040001,55.220001,100.25,40.009998,37.014999,30.25,75.779999,47.599998,66.75,100.419998,137.729996
21/04/14,127.82,102.639999,124.239998,157.800003,26.950001,55.029999,99.669998,39.939999,36.950001,30.860001,74.949997,47.98,66.129997,100.93,138.619995
22/04/14,127.550003,103.690002,124,160.460007,26.84,55.810001,99.32,39.990002,37.174999,31,75.760002,47.919998,67.379997,100.370003,138.889999
23/04/14,130.630005,103.379997,124.690002,160.449997,26.75,56.049999,99.129997,39.689999,37.049999,30.92,75.330002,47.43,67.389999,100.5,137.990005
24/04/14,129.860001,105.279999,124.300003,160.850006,26.75,56.189999,99.839996,39.860001,36.695,30.709999,76.589996,46.279999,67.419998,100.010002,136.649994
25/04/14,128.660004,104.690002,123.989998,158.240005,26.26,55.700001,100.730003,39.91,36.349998,30.75,75.660004,45.939999,66.650002,100.410004,136.559998
28/04/14,127.040001,104.260002,125.730003,156.539993,26.33,55.490002,100.309998,40.869999,35.834999,32.040001,75.739998,46.599998,67.449997,101.169998,137.229996
29/04/14,128.369995,105.300003,125.970001,158.240005,26.48,56.099998,101.5,40.509998,36.240002,31.76,75.199997,46.77,67.32,101.449997,137.550003
30/04/14,129.020004,105.400002,125.519997,159.820007,26.690001,55.98,101.379997,40.400002,36.474998,31.280001,75.040001,46.73,67.900002,102.410004,139.089996
01/05/14,128.460007,105.07,124.940002,160.369995,26.450001,55.720001,100.959999,40,36.459999,31.15,74.949997,47.220001,69.43,101.410004,140.809998
02/05/14,129.940002,105.010002,124.720001,158.880005,26.41,55.580002,101.43,39.689999,36.494999,30.75,75.029999,47.119999,68.860001,102.010002,140.119995
05/05/14,131.960007,104.519997,125.360001,156.350006,26.17,54.220001,101.139999,39.43,36.645,29.959999,75.230003,47.389999,69.849998,102.910004,140.610001
06/05/14,130.830002,103.870003,124.970001,154.539993,26.200001,53.34,100.949997,39.060001,36.125,29.43,75.260002,47.470001,68.779999,102.669998,139.289993
07/05/14,130.350006,104.620003,126.230003,155.520004,26.370001,54.049999,101.959999,39.419998,36.09,29.02,77.910004,48.099998,69.870003,103.110001,141.139999
08/05/14,130.570007,104.940002,125.089996,157.399994,26.34,54.360001,101.949997,39.639999,36.525002,29.17,76.889999,48.490002,68.690002,102.32,140.830002
09/05/14,131.100006,105.059998,125.029999,157.199997,26.299999,54.009998,102.93,39.540001,36.724998,29.030001,76.949997,48.48,68.660004,101.949997,141.339996
12/05/14,132.600006,106.199997,125.239998,159.550003,26.370001,54.650002,102.860001,39.970001,37.314999,29.129999,77.739998,48.16,69.349998,102.230003,142.820007
