Date,BA,CAT,CSCO,GS,IBM,JNJ,JPM,MCD,NKE,TRV,UNH,UTX,V,WBA,WMT
11/04/14,122.07,101.449997,22.459999,152.720001,195.190002,96.870003,55.299999,99.290001,35.625,85.300003,78.949997,113.93,49.157501,64.260002,76.5
14/04/14,123.25,102.779999,22.85,154.740005,197.770004,97.139999,54.959999,100.110001,36.189999,85.5,79.18,114.940002,50.252499,65.669998,77.379997
15/04/14,124.269997,102.5,22.889999,154.919998,197.020004,99.199997,54.799999,100.830002,36.139999,85.889999,79.510002,115.839996,51.012501,66.010002,76.879997
16/04/14,126.040001,102.93,23.030001,157.220001,196.399994,98.75,55.259998,100.830002,36.549999,86.779999,78.190002,118.07,52.34,66.160004,77.220001
17/04/14,127.919998,102.830002,23.209999,157.440002,190.009995,98.959999,55.220001,100.25,37.014999,86.68,75.779999,118.57,51.987499,66.75,77.660004
21/04/14,127.82,102.639999,23.4,157.800003,192.270004,100,55.029999,99.669998,36.950001,86.400002,74.949997,118.300003,52.282501,66.129997,77.599998
22/04/14,127.550003,103.690002,23.52,160.460007,192.149994,100.18,55.810001,99.32,37.174999,86.889999,75.760002,119.190002,52.4925,67.379997,77.559998
23/04/14,130.630005,103.379997,23.5,160.449997,191.729996,100.220001,56.049999,99.129997,37.049999,88.129997,75.330002,119.650002,52.205002,67.389999,78.040001
24/04/14,129.860001,105.279999,23.33,160.850006,190.220001,99.959999,56.189999,99.839996,36.695,88.589996,76.589996,118.980003,52.349998,67.419998,78.309998
25/04/14,128.660004,104.690002,23,158.240005,189.630005,99.790001,55.700001,100.730003,36.349998,88.309998,75.660004,117.209999,49.732498,66.650002,78.620003
28/04/14,127.040001,104.260002,23.02,156.539993,193.139999,101.339996,55.490002,100.309998,35.834999,89.639999,75.739998,117.699997,50.355,67.449997,79.760002
29/04/14,128.369995,105.300003,23.16,158.240005,195.110001,101.029999,56.099998,101.5,36.240002,90.900002,75.199997,117.559998,50.6675,67.32,79.669998
30/04/14,129.020004,105.400002,23.110001,159.820007,196.470001,101.290001,55.98,101.379997,36.474998,90.580002,75.040001,118.330002,50.6525,67.900002,79.709999
01/05/14,128.460007,105.07,23.01,160.369995,193.529999,100.529999,55.720001,100.959999,36.459999,90.830002,74.949997,116.800003,51.522499,69.43,79.699997
02/05/14,129.940002,105.010002,22.940001,158.880005,191.440002,99.309998,55.580002,101.43,36.494999,91,75.029999,116.519997,51.105,68.860001,79.120003
05/05/14,131.960007,104.519997,22.959999,156.350006,191.259995,100,54.220001,101.139999,36.645,90.650002,75.230003,116.82,51.782501,69.849998,78.620003
06/05/14,130.830002,103.870003,22.719999,154.539993,190.029999,99.510002,53.34,100.949997,36.125,89.879997,75.260002,116.010002,51.34,68.779999,78.010002
07/05/14,130.350006,104.620003,22.870001,155.520004,189.300003,100.910004,54.049999,101.959999,36.09,91.07,77.910004,116.910004,52.174999,69.870003,77.959999
08/05/14,130.570007,104.940002,23.02,157.399994,188.910004,100.5,54.360001,101.949997,36.525002,91.239998,76.889999,117.019997,52.724998,68.690002,78.690002
09/05/14,131.100006,105.059998,23.02,157.199997,190.080002,100.910004,54.009998,102.93,36.724998,91.300003,76.949997,116.989998,52.702499,68.660004,79.199997
12/05/14,132.600006,106.199997,23.190001,159.550003,192.570007,100.519997,54.650002,102.860001,37.314999,92.040001,77.739998,118.629997,52.924999,69.349998,79.150002
13/05/14,133.449997,107.150002,22.860001,160.279999,192.190002,101.019997,54.619999,103.529999,37.294998,92.910004,78.040001,118.739998,53.014999,69.57,79.139999
14/05/14,132.990005,106.529999,22.809999,159.449997,188.720001,100.870003,54.360001,103.029999,36.790001,92.650002,77.169998,117.32,52.465,68.610001,78.739998
15/05/14,131.210007,104.989998,24.18,156.639999,186.460007,100.690002,53.509998,102.5,36.470001,92.370003,76.480003,115.699997,51.862499,68.110001,76.830002
16/05/14,130.809998,106.029999,24.370001,156.429993,187.059998,100.580002,53.310001,103.139999,36.970001,92.580002,76.650002,114.580002,52.452499,67.769997,77.010002
19/05/14,131.350006,105.389999,24.35,157.669998,187,100.639999,53.830002,102.089996,37.244999,92.769997,77.199997,115.019997,52.59,69.540001,76.610001
20/05/14,129.580002,101.559998,24.120001,156.350006,184.889999,100.25,53.720001,101.529999,36.630001,92.669998,76.660004,113.099998,51.98,68.879997,75.690002
21/05/14,130.960007,102.879997,24.48,159.350006,186.389999,101.139999,54.119999,102.559998,37.105,92.860001,77.720001,114.839996,52.525002,68.849998,75.660004
22/05/14,131.839996,103.080002,24.379999,159.850006,185.679993,100.959999,54.549999,102.449997,37.439999,93.010002,78.339996,115.040001,52.342499,69.830002,75.389999
23/05/14,132.410004,104.029999,24.52,160.160004,185.940002,100.980003,54.529999,102,37.924999,92.860001,78.769997,115.540001,53.017502,69.790001,75.610001
27/05/14,134.169998,103.68,24.709999,161.770004,184.779999,100.809998,55.139999,102.360001,38.305,93.489998,79.110001,115.849998,53.625,70.239998,75.589996
28/05/14,134.330002,102.910004,24.82,161.190002,183.080002,100.300003,55.450001,101.300003,38.134998,93.459999,78.580002,115.949997,53.450001,69.809998,75.529999
29/05/14,135.139999,103.599998,24.68,160.740005,183.759995,100.760002,55.720001,101.339996,38.189999,94.099998,79.370003,116.349998,53.6675,71.110001,75.980003
30/05/14,135.25,102.230003,24.620001,159.809998,184.360001,101.459999,55.57,101.43,38.455002,93.449997,79.629997,116.220001,53.7075,71.910004,76.769997
02/06/14,135.899994,103.760002,24.780001,160.029999,185.690002,102.169998,55.349998,102.029999,38.360001,93.709999,79.470001,117.400002,53.380001,72.010002,76.760002
03/06/14,135.880005,104.489998,24.68,161.800003,184.369995,102.459999,55.599998,101.449997,37.775002,93.410004,79.879997,117.82,52.830002,71.559998,76.709999
04/06/14,135.330002,104.309998,24.5,162.389999,184.509995,102.68,55.68,102.440002,38.064999,94.669998,80.510002,117.139999,52.857498,74.559998,77.129997
05/06/14,136.820007,106.959999,24.700001,162.580002,185.979996,103.220001,56.630001,102.449997,37.935001,94.970001,79.800003,118.169998,53.055,75.599998,77.32
06/06/14,138.25,108.18,24.83,166.190002,186.369995,103.18,56.970001,101.959999,38.115002,94.360001,79.93,118.900002,53.25,75.029999,77.209999
09/06/14,137.960007,108.75,24.799999,166,186.220001,103.220001,57.419998,101.379997,38.334999,94.660004,79.760002,120.089996,53.145,74.919998,77.010002
10/06/14,137.25,109.309998,25,166.360001,184.289993,104.099998,57.900002,100.879997,38.154999,95.099998,79.809998,119.129997,53.5625,74.739998,76.620003
11/06/14,134.100006,108.690002,25.040001,165.429993,182.25,103.32,57.27,100.419998,37.57,94.900002,80.169998,118.300003,53.169998,74.669998,76.160004
12/06/14,132.190002,106.650002,24.66,165.960007,181.220001,102.529999,57.040001,99.760002,37.384998,95,79.440002,116.849998,52.942501,72.470001,75.730003
13/06/14,132.289993,106.769997,24.700001,165.889999,182.559998,102.529999,57.040001,100.489998,37.310001,95.410004,79.18,116.790001,52.822498,73.059998,75.279999
16/06/14,132.539993,106.809998,24.530001,165.850006,182.350006,102.449997,56.869999,101.099998,37.275002,95.459999,78,116.870003,52.560001,73.290001,75.339996
17/06/14,132.449997,106.669998,24.5,168.220001,182.259995,101.93,57.419998,101.269997,37.544998,95.220001,78.169998,117.010002,52.702499,73.099998,74.989998
18/06/14,132.479996,107.480003,24.629999,169.860001,183.600006,102.809998,57.779999,101.349998,38.105,95.400002,79.209999,117.230003,52.8125,76.080002,75.699997
19/06/14,132.820007,107.25,24.709999,169.729996,182.820007,103.809998,57.299999,101.910004,37.82,95.599998,80.510002,117.580002,52.580002,75.389999,75.870003
20/06/14,132.100006,109.379997,24.83,169.839996,181.550003,105.269997,57.549999,101.919998,37.549999,94.589996,81.410004,117.989998,52.372501,74.540001,75.68
23/06/14,130.850006,108.779999,24.700001,170.240005,182.139999,104.75,58.189999,101.910004,37.724998,94.949997,81.489998,117.129997,52.3675,73.730003,75.790001
24/06/14,129.149994,107.809998,24.530001,168.229996,180.880005,104.589996,57.419998,101.470001,37.490002,94.669998,81.739998,115.68,51.947498,72.480003,75.970001
25/06/14,127.059998,108.440002,24.719999,168.380005,180.720001,105.760002,57.529999,101.610001,38.235001,94.860001,82.339996,116.120003,52.264999,74.190002,75.620003
26/06/14,128.020004,108.519997,24.65,168.009995,180.369995,105.650002,57.389999,101.510002,38.43,94.410004,82.290001,115.75,52.240002,74.230003,74.910004
27/06/14,128.539993,108.779999,24.700001,166.779999,181.710007,104.989998,57.529999,101.459999,38.84,93.919998,82,116.580002,52.32,74.099998,75.339996
30/06/14,127.230003,108.669998,24.85,167.440002,181.270004,104.620003,57.619999,100.739998,38.775002,94.07,81.75,115.449997,52.677502,74.129997,75.07
01/07/14,128.149994,109.169998,25.08,166.809998,186.350006,105.870003,57.57,101,39,95.209999,81.889999,115.93,53.5625,73.779999,75.279999
02/07/14,127.620003,109.559998,25.030001,166.889999,188.389999,105.860001,56.970001,100.529999,38.895,94.620003,82.489998,115.139999,53.709999,73.040001,75.620003
03/07/14,128.509995,111.080002,25.190001,169.460007,188.529999,105.419998,57.049999,100.980003,39.224998,94.839996,83.349998,115.529999,54.127499,73.980003,75.75
07/07/14,129.089996,110.160004,25.23,167.779999,188.039993,106.470001,56.669998,100.169998,39.325001,94.550003,82.220001,115.099998,54.185001,73.580002,76.07
08/07/14,126.790001,109.459999,25.07,164.910004,187.220001,105.720001,55.759998,100.089996,38.834999,94.139999,81.93,114.07,53.814999,71.120003,76.650002
